32385435,00_0001exx_e299byy,2014-07-15,POINT Z (616160.622 5449588.848 249.529),0.31934,-0.44303,-10
32385436,00_0001exx_e299cyy,2014-07-15,POINT Z (616160.611 5449591.852 249.519),0.41756,-0.44615,0
32385493,00_0001exx_e29d5yy,2014-07-15,POINT Z (616257.049 5449611.251 249.737),-0.24606,0.56458,150
32385340,00_0001exx_e293cyy,2014-07-15,POINT Z (616161.686 5449375.589 250.748),-0.15722,-0.32969,95
32385451,00_0001exx_e29abyy,2014-07-15,POINT Z (616171.048 5449635.035 249.615),0.33224,-0.58146,25
32385304,00_0001exx_e2918yy,2014-07-15,POINT Z (616085.538 5449329.082 251.267),-1.26755,2.04310,10
32385309,00_0001exx_e291dyy,2014-07-15,POINT Z (616086.188 5449344.109 251.011),-0.73088,0.82345,10
32385308,00_0001exx_e291cyy,2014-07-15,POINT Z (616085.915 5449341.103 251.064),-0.51336,0.56629,10
32385300,00_0001exx_e2914yy,2014-07-15,POINT Z (616084.224 5449316.995 251.658),-0.39300,4.32138,-97.94804
32385302,00_0001exx_e2916yy,2014-07-15,POINT Z (616085.072 5449323.005 251.481),-1.30360,4.19008,10
32385303,00_0001exx_e2917yy,2014-07-15,POINT Z (616085.357 5449326.04 251.371),-1.39144,3.05895,10
32385363,00_0001exx_e2953yy,2014-07-15,POINT Z (616232.244 5449384.45 250.937),0.34895,0.64405,10
32385463,00_0001exx_e29b7yy,2014-07-15,POINT Z (616188.981 5449665.647 249.967),-0.96442,-2.07381,70
32385462,00_0001exx_e29b6yy,2014-07-15,POINT Z (616186.687 5449664.003 249.937),-0.00136,-1.75871,50
32385366,00_0001exx_e2956yy,2014-07-15,POINT Z (616232.898 5449393.737 250.918),0.84475,0.31945,-20
32385365,00_0001exx_e2955yy,2014-07-15,POINT Z (616233.259 5449390.664 250.909),0.45042,0.41858,-20
32385367,00_0001exx_e2957yy,2014-07-15,POINT Z (616232.229 5449396.748 250.932),0.66720,0.27052,-20
32385318,00_0001exx_e2926yy,2014-07-15,POINT Z (616096.039 5449366.625 250.646),-0.04726,-0.77836,50
32385317,00_0001exx_e2925yy,2014-07-15,POINT Z (616093.457 5449365.402 250.663),-0.47153,-0.57467,30
32385319,00_0001exx_e2927yy,2014-07-15,POINT Z (616098.828 5449367.484 250.642),-0.40411,-0.78964,70
32385329,00_0001exx_e2931yy,2014-07-15,POINT Z (616128.598 5449371.825 250.688),-0.13176,-0.49341,90
32385335,00_0001exx_e2937yy,2014-07-15,POINT Z (616146.55 5449374.228 250.758),-0.77828,-1.00335,90
